gene	IAE_mean	IBI_mean	IAE_minus_IBI
LTBR	0.6223170198856355	-0.33805362042997383	0.9603706403156094
CXCL5	1.2582074486366	0.2979604184103865	0.9602470302262134
TTK	-1.3802903879624333	-0.4210024149891598	-0.9592879729732735
IL13	0.7180430732215562	1.6772121491469238	-0.9591690759253676
CXCL13	0.1530065893454151	1.110837560877601	-0.957830971532186
BMI1	0.4121867938534108	-0.5442360759238986	0.9564228697773094
RELB	1.4965640870194095	0.5418839092223288	0.9546801777970807
C4BPA	0.2237512775870213	1.1769322815390906	-0.9531810039520693
LY86	0.8976097284244107	1.844682673031751	-0.9470729446073403
CCL3L1	1.8221232299586454	0.8782470844531088	0.9438761455055366
CLEC4A	2.201861098751582	1.2649197270808823	0.9369413716706998
MAPKAPK2	1.1769557740300383	0.24364925221617736	0.9333065218138609
JAM3	1.6280882324183072	0.6959702283268469	0.9321180040914604
DEFB1	0.7534844456274324	1.6842644808342866	-0.9307800352068542
KIR3DL2	0.8873417841887377	1.816283405205229	-0.9289416210164914
CXCL1	1.2129273234793068	0.2965041716180346	0.9164231518612722
IL1B	2.0766028569658133	1.1635101251218518	0.9130927318439614
IL2RB	1.3868428138830045	0.4747690898774984	0.9120737240055061
GAGE1	0.42400706282221257	1.3344540156515121	-0.9104469528292995
CR1	2.1521042603401996	1.2464770091971367	0.905627251143063
C1S	1.5598391785313899	0.6551681723535836	0.9046710061778063
PASD1	1.5232027860499897	0.6192495643100622	0.9039532217399275
HLA-DPB1	1.1685704003889712	0.26914581571046003	0.8994245846785112
BCL10	0.07336974052306222	0.9717142524483738	-0.8983445119253116
ITGA4	1.3144508382202773	0.42040211882839523	0.894048719391882
PRM1	0.6440335282557463	1.5353855345093532	-0.8913520062536069
TNFRSF9	1.4048151453303805	0.514681953334852	0.8901331919955285
IL21R	1.5161974196059205	0.6284684913039739	0.8877289283019466
A2M	1.2917449496519784	0.4060029788038131	0.8857419708481653
MUC1	0.6988186274487752	-0.18376183296006113	0.8825804604088363
SSX1	0.6346260302953854	1.516706617757608	-0.8820805874622226
HLA-DPA1	1.0830677169467342	0.20516825531931712	0.877899461627417
PAX5	0.45629405658446404	1.3340429705946566	-0.8777489140101926
DOCK9	-0.5675799582178103	-1.4444870879015361	0.8769071296837259
TNFSF18	0.5118094099185697	-0.3604769894792148	0.8722863993977845
CD83	1.5778468980587508	0.707169624310991	0.8706772737477598
RORA	1.8312099006347573	0.9606533713056772	0.8705565293290801
CEACAM8	0.6257179587268767	1.4955208246393894	-0.8698028659125127
BLK	1.651495499089292	0.7839312536385493	0.8675642454507427
PRAME	0.37146049086307376	1.237178260275158	-0.8657177694120842
FADD	0.5986859344525023	1.4610824638223485	-0.8623965293698462
CCL28	-0.14906300280836857	0.7066448531761358	-0.8557078559845044
PRKCD	0.537169393107406	1.389047498417269	-0.851878105309863
IL10	1.9372608807562488	1.0858333145080987	0.8514275662481501
C8G	1.0995394142836796	1.9483254302496544	-0.8487860159659748
SIGIRR	0.3034401700866459	-0.5427220216928519	0.8461621917794978
IL25	0.641754461622997	1.487620762037768	-0.845866300414771
TP53	-0.9650433482375028	-0.12180970843183869	-0.8432336398056641
CRP	0.8525559416254396	1.694753720967778	-0.8421977793423385
KLRG1	1.681489896779221	0.8468833321740047	0.8346065646052162
ABCB1	-0.4801757434153156	0.3524375444799073	-0.8326132878952229
IL18RAP	2.0081942841859015	1.1758554468901592	0.8323388372957423
THY1	0.8851483068074725	0.05525032439988017	0.8298979824075923
MBL2	2.103442203852071	1.2751920627338789	0.8282501411181922
MAPK11	0.5297778304968449	1.3557859390406979	-0.826008108543853
MAGEA4	0.38197625728460305	1.2065703435799635	-0.8245940862953605
BLNK	0.2458655385199483	-0.5782655654870553	0.8241311040070036
ECSIT	-0.9197750304906075	-0.09588562566734356	-0.8238894048232639
CD6	0.9241097984912559	0.10141225536634775	0.8226975431249081
TNFAIP3	2.0273447794834403	1.2097091589535116	0.8176356205299287
MST1R	0.19272075329658456	1.0029095936490953	-0.8101888403525107
BCL2L1	0.752037031592427	-0.055032034924682456	0.8070690665171094
ETS1	1.442197939033872	0.6352634587742709	0.806934480259601
IL18R1	2.1937723217598117	1.3871369898124792	0.8066353319473325
MNX1	-0.6767209118579052	0.12785567097724526	-0.8045765828351504
C7	1.190795659400184	0.3866598520250916	0.8041358073750924
CT45A1	0.7597987807767985	1.5610712089681391	-0.8012724281913406
IL12RB1	1.7802710559579467	0.980306512976148	0.7999645429817986
CD96	0.06260978787310101	0.85671727467777	-0.794107486804669
IL2RA	1.7783813111331934	0.9843607885860629	0.7940205225471305
TRAF6	0.6450537424478437	1.4388599469090024	-0.7938062044611587
C1R	1.5705607186862196	0.7790296732500437	0.7915310454361759
CFP	2.139389474403856	1.3541147770898354	0.7852746973140208
IL1RL1	1.858740968974213	1.0739214297383122	0.7848195392359008
CCL26	0.9699721109199921	1.7543622528046454	-0.7843901418846533
UBC	0.4535356946203083	1.233444007785448	-0.7799083131651398
CD244	1.2955046888454747	0.5175551020843954	0.7779495867610793
IFNA7	0.7061835343772666	1.483016558363417	-0.7768330239861504
TLR5	1.7718664042584844	0.9955216017888847	0.7763448024695997
CREB5	1.5371817191585726	0.7640050240736862	0.7731766950848864
KLRD1	0.44358499934583073	1.216008091335215	-0.7724230919893842
CD7	1.4552181781654276	0.6864266309976349	0.7687915471677927
TRAF2	0.9747485210457667	0.20901299746649785	0.7657355235792689
ADA	0.3110979250911427	1.0754972744616627	-0.7643993493705199
ROPN1	1.2529144164287331	2.0162584930274874	-0.7633440765987543
IFNG	1.358843253932961	0.5963511718772693	0.7624920820556916
C8B	0.8714548744996786	1.6332206914822243	-0.7617658169825456
KIR_Activating_Subgroup_1	1.0546701917083385	0.2942595263827011	0.7604106653256375
DMBT1	-0.9202907452257905	-0.1601108245390501	-0.7601799206867403
CTSL	1.8719035554774215	1.1179139734691201	0.7539895820083014
CD247	0.6658248370028919	1.4184085134061093	-0.7525836764032174
VEGFA	-0.26320229872330164	0.4865683022057929	-0.7497706009290945
