gene	TNT RNA 5	TNT RNA 6	TNT RNA 11	TNT RNA 12	TNT RNA 41	TNT RNA 42	TNT RNA 29	TNT RNA 30	TNT RNA 32	TNT RNA 33	TNT RNA 38	TNT RNA 39
CCR3	-0.662536150466365	0.8681923123023453	-1.0250634866826658	1.1066003589325775	0.3896073942401305	0.6711326786510333	-0.34994307112243106	0.5549949515688547	-0.9580581090106882	-0.8363434467269619	-1.5899625240229407	1.8313790923371114
CCR4	-1.166591643684135	1.4118401424609064	-0.1750097175626295	0.4069492878979409	-0.000918526925242795	-0.3245972346585156	-1.4445081934263213	0.4037914505479569	-0.361594631447708	-0.5750527012702538	-0.49543463796500953	2.3211264060330103
CCR5	-0.2977689328122133	1.946108936203769	0.5988600572830588	1.840133299827871	-1.1637113878662582	-0.16414070941487144	-0.7629212136288456	-0.06565787902234585	-1.2888734477900006	-0.703770925739631	-0.32504272908050685	0.386784932039984
CCR6	-0.0205749001690058	0.1144156772036715	0.26940247072075135	0.5361509955785854	-0.2844952354817838	-0.943251113334361	-2.1291118812653402	-0.20555767285336363	1.2301216753451933	0.5443717526946438	-0.9478812489253271	1.8364094804863356
CCR7	-1.1651151578866115	1.717500861582555	0.7216336893535524	1.9015430823904016	-0.2872089486750078	-0.42385114557662623	-1.4691191116010154	-0.653380384326169	-0.10279630809687645	-0.3532604383461556	-0.47535280190544776	0.5894066630873911
CCR9	-0.6761955021058091	0.10042467688737215	0.1034285829061561	1.149005018383885	-0.2673683376487463	-0.47831566914226314	-0.7517008703387297	-0.20421986997165947	-0.1032009464425291	-0.09452754040050056	-1.4535722080409765	2.676242665913795
CCRL2	0.22146147281048914	0.17466359019210836	0.3161407980181633	2.1107125439384995	-0.08524371897470001	-0.6970690134193385	-2.1735042846500754	0.9592316003943726	-0.7616522930600457	0.6308623792868376	-0.28477859083504325	-0.4108244837012745
CD14	-1.2536446757534945	1.7601150860658896	-1.2846046708012382	0.8724665650041344	-1.1238495015033845	-0.697191459904627	-0.3994648732540316	1.2224475592477864	-0.7577084747024415	0.6739649417726339	0.4939624855527943	0.4935070182759762
CD160	-0.0035720537078925414	0.4149475960938881	0.527127395834147	0.10417113798243596	-1.2419988995029079	-0.6592531391864157	-0.28223578821680806	-1.2224769728693037	-1.0136336714869685	1.1667998606621006	-0.1512433275261062	2.3613678619238283
CD163	-0.47637455200054685	2.217452662011646	-0.4355123376171549	1.039897583532412	-1.1024425477358257	-1.1466019023711258	-0.12566196946985136	0.3104758222035206	-1.4988898241133237	0.5141743283080985	0.0482933404238522	0.6551893968283133
CD164	0.5367764925204254	-0.47879049181740607	0.3448691602279964	0.067904320156682	0.47834547152226536	-0.01935759453526356	-0.5067420713975607	1.2968972545802178	-0.28685506390872534	0.7863782769796954	0.6263118697091125	-2.8457376240374317
CD180	-0.1413295617956817	2.418183656900823	0.5853103140730408	0.5778884306496772	-0.2688862349051187	-0.9665112833867853	-1.2228713237925308	0.752676669560727	-1.530212033983723	0.025683635653355325	-0.2120416218257016	-0.017890647148082136
CD19	-0.2617842916665577	1.423144900019711	1.0876886917155282	0.40375740556316064	-0.26643002180681696	-0.44816240279691694	-2.1695682091573354	-0.6296849426951189	-0.30466672354733615	-0.49688566278537494	-0.023939716224740577	1.6865309733817904
CD1A	-1.1413400318533657	-0.17034690035972494	0.5765961239744202	0.611282434445943	-0.5438764913276927	-0.5391096027308321	-0.7326907959198445	0.5773927536794699	-1.1880275995968863	0.09696357617584614	-0.20096097314442687	2.654117506657095
CD1B	-1.7577960760532276	1.285878481326032	0.7977304679297712	1.0518645407202787	-1.2788519704243462	1.1316442950153334	0.08715424400619494	-1.245052319958726	0.5468312620796416	0.3653140061254984	-0.7400798726903145	-0.24463705807611355
CD1C	0.3490777761426267	1.20595136900329	1.352745003970243	0.5879659577264723	-0.8482587784664135	0.06409038139046958	-0.30703615407722246	0.6298271822634227	-1.899504846354413	0.14940617969515774	-1.7775815075889572	0.49331743629532926
CD1D	-0.5616405421254169	1.4767221418614214	0.1587547959347349	0.8533903866904434	0.02395507854991899	-1.4424952930283703	-1.5726498648485738	0.15284029481844483	-1.4906306903512276	0.9296071479220471	0.7725567047230423	0.6995898398535462
CD1E	-1.3831762298266834	0.1683295192705226	-0.04197649671939171	1.2667978905419812	-0.21723879078620467	0.11324324103298355	-0.5509499863397569	-0.5509499863397569	-0.688913577526091	-0.42385014850281294	-0.33990973650722234	2.6485943017024374
CD2	-0.5322479058472085	2.3902396721307695	1.1320361321877834	0.8639151555927392	-0.43362377650296324	0.1272897856479468	-1.4665744635791018	-0.37872753777209056	-0.9106202744406097	0.09664996319247368	-0.7934263106724061	-0.09491043993732884
CD200	-0.7315730977705922	1.9694397697935577	-0.4831001547921514	-0.17280011019117217	-0.3036806376580744	1.527890354118646	0.14566265326297134	-0.7034742224930995	-0.9799130586325937	-1.168185340904021	-0.45855220272288516	1.3582860479894212
