gene	subj_2	subj_4	subj_14	subj_10	subj_11	subj_13
CFI	1.66908456589686	0.9325431761482192	-0.37132739334496734	-1.7816547112579122	0.4338256602125984	1.724985171286543
CFP	2.2620271101518448	2.0167518386558676	-0.10521579349845156	0.7724530980692935	0.8423545623477813	2.4475366708524318
CHIT1	2.725410837221669	0.9244810455613045	-0.6364280815565331	1.155720286489117	-0.17103754560445825	1.595597404143701
CHUK	-0.4837077281559565	-0.09334094158596251	0.43250969226550007	2.1733096307335016	0.6375430868888585	-1.455908543201505
CKLF	0.8815338148252143	0.5427655608344686	0.2725237704720356	0.04382943816207684	1.6520384925956417	-0.8623348654440108
CLEC4A	2.5433775822911895	1.8603446152119751	0.4796337205304027	1.06466040883274	1.2390120668101314	1.4910867055997752
CLEC4C	3.1709871950979194	0.9687666142750758	-1.4877187333576154	1.7702362136860783	0.6035864148548183	0.6468211006373433
CLEC5A	0.8773649319659472	2.570224081407968	1.2270285517024204	-1.5740237873734875	-0.7698976918162189	1.7449741573285629
CLEC6A	1.4908706085404209	1.4974328884520764	-0.5519211282327686	0.9878736789240646	-0.31234502490348115	3.6679131163073473
CLEC7A	2.7662566377712734	2.656939076908674	0.47379393991011226	0.18953980226992323	1.6029308316401403	2.19766991485276
CLU	1.4274481090970386	1.524176227157713	0.45672866467292683	0.7029566192205472	1.1370023312413455	3.009355126454268
CMA1	1.8801587152385675	-0.499217112736733	-0.37208629840967933	2.205992299415911	1.4485965144178987	-0.1847966461672927
CMKLR1	2.7441182012061525	0.7094306270499591	0.5619184031486963	1.3397888608904316	2.6248284249405307	-0.38298194470893365
COL3A1	2.957710530311216	0.7174061490033284	0.45167328904998194	-1.423207992490659	1.0535575091215452	1.978717848956844
COLEC12	2.7146485247384105	0.8022860224570969	0.34630637545741594	0.9261272786509007	1.401418227469185	1.4512841497102573
CR1	2.381616982540154	1.922591538140245	0.6884276515771859	1.5203959451058016	1.4246358043238025	0.7943992781618057
CR2	0.646492816276645	-1.177010486217487	1.633465770427611	1.4867024710866414	0.5330519180918545	2.8272290382758936
CREB1	0.2468527201618167	-0.8079931771271573	-0.3751241282663952	-0.2114930702969693	-0.6312394493750286	-1.1411522409461656
CREB5	2.3774525271085167	0.6969109112086282	0.3732542249033491	-0.5473014776906684	0.3803893835081935	2.4589271664035337
CREBBP	0.39648428906721866	0.71014556302348	0.4296556362215819	-0.2516963138272714	-1.0625068812375849	2.281094686635494
