gene	pearson_r	pearson_P	ns_delta_mean	rna_delta_mean
IL18RAP	0.9252605778545065	0.024250951239056684	1.0745668602440577	0.6184921698460678
IL17RB	0.9248543357642072	0.024447414322057236	-0.7044297387667184	-1.3615794414638855
CTSL	0.9246314399225867	0.0245554263644986	1.2559761016139723	1.524960526576891
FYN	0.9243854458842595	0.024674809711591996	0.7594172900268884	0.3781637565509106
MS4A1	0.9240038227423538	0.024860384584046435	-0.299779013151959	-0.9528868461252159
SPN	0.9237503405169054	0.024983895104339005	0.49185748592354167	0.12128301315964143
SIGLEC1	0.9233553968033102	0.02517672654852823	1.3440616472470166	0.30091688047483983
CD81	0.9213283629673545	0.0261739133710381	-0.10231307447427085	-0.2807890883944353
SOCS1	0.9213052310426989	0.026185364871432474	0.45204506685376133	0.07907162766779088
ITGB3	0.9211896331824881	0.02624261598192643	0.8889727683136746	0.9578434505332861
CD74	0.9210105213096265	0.02633140264872922	0.5517088270433093	0.4654458122031519
PSMB8	0.9199367957658741	0.02686567437075355	-0.24766846595718253	-0.27345408422853873
IL15RA	0.9190604694593414	0.027304276683970445	0.6474682079536158	0.14374053912139112
IFITM1	0.9160404959666689	0.02883315918003972	-0.5876086880445562	-0.4761731036898148
HLA-B	0.9154353512327325	0.029142725175639296	0.6836464679380743	0.49676128102096834
INPP5D	0.9140388701637849	0.02986114523061412	-0.08527267927209312	-0.16054628713505625
EOMES	0.9140109893057363	0.029875545689054865	0.5830435594565531	0.13928155216254628
ICAM2	0.9136381974112915	0.03006830671248278	0.729042744515682	0.5062356398502613
CD5	0.9127889817324751	0.03050889732598645	0.3289162370290134	-0.15596686906993856
IDO1	0.9126771538489993	0.030567069092636186	1.2155510091024673	1.0689763546123987
MAP2K4	0.9121709930135816	0.030830813320082792	0.09254113291964945	0.00985066367031422
NUP107	0.9115536638486103	0.03115346636312036	-0.7543619195948674	-0.9795544769307508
ITGA2	0.9110436245647724	0.03142085502447238	0.06737577601339559	0.03730245624738071
TFRC	0.9098323906225347	0.03205877410501428	-0.9917363886035748	-0.946961451335747
TNFSF13B	0.9096887852323602	0.032134678764996975	1.1448970216762226	0.9472814362054944
C2	0.9094765477901554	0.032246965169037724	-0.13199543020397275	-0.6165808540779991
PECAM1	0.9079414059658446	0.03306287302227851	0.7043444512031061	0.923915127109437
CXCL10	0.9076363533120826	0.03322578074678477	0.531088685811359	0.6006591330706721
LILRB3	0.9069449697541618	0.03359594891637086	2.0168211412390225	2.117252055903985
MPPED1	0.9059426991556508	0.03413489181295142	1.5238211630981509	0.01929053946184894
SIGIRR	0.9052051390583038	0.034533242994878054	-0.01942087809603841	-0.6340456714780269
IL7R	0.9050246202271932	0.03463096497406017	1.032015154379018	1.2214663070676788
STAT1	0.9046446961782585	0.034836921174974604	0.5204114069700794	0.285293156926396
CX3CL1	0.9041683578282705	0.0350956944924032	0.3761753164221896	-0.07232584474484542
HCK	0.9035810302728593	0.03541560489135835	1.8039158995151836	2.0985919342585504
CD200	0.9016052686418915	0.03649855967554234	0.9181764523795446	0.4806357150344958
ILF3	0.9005939310123712	0.03705691057662038	-0.5540647099102378	-0.9208260436993883
CX3CR1	0.9004153316408067	0.03715579455428428	0.9497741237637015	0.5408461465105671
PYCARD	0.8997665065347522	0.03751573216274694	-0.10360878334797885	-0.9090974111897309
IRF7	0.8987987328340457	0.03805465982902306	1.1713241875119862	0.6325267833296299
PDCD1LG2	0.8970940769184398	0.03900987579630116	1.0485483870882821	0.9703451147820221
MS4A2	0.8967484479013421	0.03920446980116058	1.2345377875434367	0.27032090810966114
CD3D	0.8961396279188354	0.03954799327016607	-0.05264333154066971	-0.5612419854608607
KIT	0.8941278325942298	0.04068989807237013	0.43127406665387225	-0.25946092399002935
CD3E	0.893527947812187	0.04103239231882551	0.22002014454469876	0.03652571383847003
IFI16	0.8929975500724271	0.04133597368461438	0.797316500899878	0.7308291369201448
OAS3	0.8920245465340955	0.04189473360871352	0.8869950759038014	0.5961798430235342
TNFRSF13B	0.8913601097478059	0.04227766278614719	-0.26274947646749525	-0.3770056136108388
HLA-DQA1	0.8909977393134271	0.04248697069349512	0.4850018970121006	0.3718892117551157
ENG	0.8908839504621346	0.04255276371963745	0.4538076448555861	0.3692988576939279
CSF3R	0.8878230797322675	0.04433463632581762	2.315337967521196	3.007151684517068
SMAD2	0.8876504863682041	0.04443579978262896	-0.13904085176388836	-0.19510576435521987
CD96	0.8864450384723372	0.04514439276790898	0.045549728018113814	-0.021486489206180303
CD247	0.8852087852025387	0.045874774267219746	0.5143879125243568	0.11393826617629155
C7	0.8848439296974371	0.04609104055704942	1.1840606989941749	0.04644511919039065
BST2	0.8836464258169481	0.04680311394443187	0.9621996406661119	0.965178855315705
LRRN3	0.883195139027463	0.047072358487553895	0.860151781958711	-0.2737002566260974
IFNGR1	0.883028873651135	0.0471716780862818	0.3038862352080958	0.5069448424151357
IL22RA1	0.8827356722173245	0.04734698501345612	-0.09821325229166984	-0.6640069621722208
MAP3K5	0.8818290875849318	0.04789033704328166	0.4830724129629111	0.07863112727347046
IRGM	0.881591526483448	0.04803304075276431	1.268061222162468	0.05866905013725522
PIK3CG	0.881331053796568	0.04818966176473655	1.0362146195275126	0.648463121242974
GZMH	0.8813063545893908	0.04820452165005668	0.7870193360677111	0.3959035059292232
TPSAB1	0.8805170242329833	0.04868017161518155	1.1912621830788104	0.5249379193560362
C4BPA	0.8803967519715081	0.0487527771217085	0.9496138764255626	0.9869463843310478
C1R	0.8795025672582691	0.049293645863934206	1.169022134632497	1.2122209938784685
HLA-DRA	0.8787973104738122	0.049721564667978085	0.1773806373366888	0.4255967797750948
CXCL13	0.877122912877738	0.05074217938652855	0.5340090524437917	-0.08661880236257513
CD83	0.8768079074750641	0.05093491849017467	0.845101017920248	1.3589563260497752
CDH5	0.8765058816824196	0.051119932237340994	0.5448262263523149	0.057462357031794475
FCER1A	0.8749631965872984	0.052068236089318355	0.5425795063933048	0.6100858084323729
ICAM4	0.8715897592478381	0.05416094425700862	1.4268117407835947	1.1835921174146993
S100A7	0.8705170797896035	0.05483179782388305	0.6152257005557413	-0.5912560536192294
CD58	0.8687347554134165	0.05595218696312858	0.10768402075849703	0.104153830009448
IRAK2	0.8683713543840589	0.056181497598457704	1.1225037604671069	0.9936494632916377
IL23A	0.8683708416730803	0.056181821333666615	1.2496090749723656	0.9753809693867581
CTSH	0.8682276530155708	0.05627225623678867	-0.40731247292665707	-0.2158428642609352
NLRP3	0.8657695763002685	0.057831822595187654	2.127713414842062	2.0851388691457067
PLAUR	0.8652350478754414	0.05817272977381914	1.6129971010761408	1.7043323305932052
VCAM1	0.8640379746098551	0.05893846443286872	1.2996064382046109	1.1127034289149462
SMAD3	0.8624312947035967	0.05997113215063519	0.2783149454217947	-0.08543544814666619
CCL18	0.8614814404346276	0.060584272348369016	0.5355705672763452	0.2011391002945718
ZNF205	0.8594453045837014	0.06190517383644872	0.08820855304631499	-0.9338868399570182
RUNX1	0.8593780904801885	0.06194892936162595	0.8584986879677619	0.09929258849397601
NCR1	0.8593350836389108	0.06197693133936109	0.1613484437650241	0.12529439778172297
CD63	0.8588571082182229	0.06228840982541884	0.7685031181466464	0.2349553580880439
TMEFF2	0.858123144107442	0.06276765561164879	1.1375449260224932	0.00273132617726284
CSF1	0.8571134116935676	0.06342883835693822	0.7259023600488612	0.7881999722733806
PSMD7	0.8567167228155457	0.06368918565482806	-0.28965315406082476	-0.5784034543256216
C1QBP	0.8556875783686303	0.06436616437244537	-0.7940659033559943	-0.9299301589585361
HRAS	0.8548556986324312	0.06491501108324794	0.07864748540965287	-0.17947394479145604
IL1R1	0.8525972918079671	0.06641233824614934	1.577007714779383	1.4767746290522425
ELANE	0.8523815971348413	0.0665559000634908	0.8449111360795986	0.30585341429153035
HLA-DMB	0.8519458342332388	0.06684622913967196	0.5211898553680199	0.20733263310704766
BCL6	0.851114920472204	0.06740091887351336	1.925795613787966	1.807792868488307
TNFRSF14	0.8503578811728303	0.06790753340891224	0.13450130737584906	-0.26780503275929995
HLA-C	0.8492877697901321	0.06862566803144488	0.8979476976202779	0.5725199974251133
PVR	0.8492377962915518	0.06865926185478224	0.10871751509441178	-0.23198036562850816
PBK	0.8480542119905199	0.06945639857362601	-0.5026300194329452	-1.2796482555823794
FCGR2A	0.8475591034880391	0.06979069869795115	1.7883527347874177	2.507844653461846
CCL19	0.8463127393183755	0.07063445548089514	0.8410626144827977	-0.1897528071774591
TNFSF14	0.8461449614986968	0.07074827712534658	1.7969428701838885	1.4109405574597766
HLA-A	0.8456638219505186	0.07107500098825839	0.7071209728638379	0.36518742895970463
CD44	0.845421910194897	0.07123945070633403	1.111532196361915	0.7417886220597002
TNFSF12	0.8440107014793397	0.07220112642316688	0.4057113125986637	0.06637906370849755
HLA-DQB1	0.8438085014203491	0.07233924410969049	0.7605603948242499	0.564310221466823
TNF	0.8432200738990185	0.0727416493426736	1.6291745184696602	1.8813963587575664
BATF	0.8429931786072277	0.07289700000987744	1.0206686059080512	0.41083636741708796
CD163	0.8423003046957941	0.07337203230538494	0.9760404967443197	0.9174934429193085
CAMP	0.8401663347418096	0.07484106529729848	1.5924866844606171	0.8414115927696415
LYN	0.8384132237622066	0.07605463777714352	0.7250654141057966	0.8172712718236905
NOD1	0.8362806700566622	0.07753898625050143	0.1293117407538757	-0.4365229521189503
TAL1	0.8338481041029568	0.0792429346801793	1.343129882417356	0.06487250480363702
LILRB2	0.8333611565382221	0.07958539932109028	1.6569591225939313	1.5976157378056033
NOTCH1	0.8332244722762774	0.07968160965125276	0.02025899734685179	-0.34204012538360334
CD274	0.8322068254357321	0.08039904407329178	1.3993830616173852	1.5039023233001738
CFP	0.8301042730086402	0.0818875896279052	1.4141324106503759	1.5858099854029324
BCL2	0.8289286572084132	0.08272354801219732	0.09492565303240426	-0.1843749131909406
GZMA	0.8287778430676623	0.08283097810127232	0.5389807471789021	-0.08495294836054165
NRP1	0.8253554486468071	0.08528034944158115	1.018623778426654	0.835911877771742
MFGE8	0.824129188175717	0.08616329084932836	0.9164617969711667	0.9696302601363577
SPA17	0.8223443361370726	0.08745340842497625	-0.0239539736774649	-0.16618253391533355
MEF2C	0.8221715647037121	0.08757860200784812	0.47652629803475327	0.11927542291854558
TLR8	0.8211855402201717	0.08829414430982495	0.9983147544728913	1.5440949258491379
CD34	0.820114775168318	0.08907319885055276	0.44649903879740566	-0.0025937030922542183
IRF4	0.8185643552194145	0.0902049409499048	0.21246823447896973	0.5212609318789398
AKT3	0.8172590215814943	0.09116116308440919	1.0862280657173917	0.9643949466560235
ADA	0.8153654298656293	0.09255377869699777	0.5399288872678024	0.11927260128381714
TRAF6	0.814881734210661	0.09291053867275774	0.46539864147815474	-0.04494881503620762
TNFRSF1B	0.8103542579822673	0.09627008137192264	0.9522794517812576	0.712680623339867
GTF3C1	0.8094943759165872	0.09691224009157683	0.15903451328245613	-0.572854695355303
PRAME	0.8091585720437838	0.09716337059648728	0.7730328065640213	-0.3940162719738575
LAMP1	0.8083084732280189	0.09779999919513488	0.08063238726349767	-0.248156982200479
NFKBIA	0.8070888000128075	0.09871560298008814	1.3360568156530388	1.745664508358831
TLR6	0.8065588691521377	0.09911422745884985	1.2832717678820078	0.7220351797418678
HLA-E	0.8064309245156646	0.0992105430915426	0.6507859959496816	0.5014370990521669
CCR5	0.8035585243162062	0.10138031963823639	0.79037274846771	0.375475953366955
ITGAM	0.8030983550953683	0.10172924766346918	1.6427544434866974	1.5350195736088867
CD3G	0.7997942996392934	0.10424521806953374	0.7167736628059721	-0.06091973997150295
SELPLG	0.7995795442779682	0.10440939315819867	1.4545036594040304	1.5573270770710916
IRF8	0.7992853092377584	0.10463445539403855	-0.17995067242095217	-0.4938157300700846
CXCL11	0.798461668843623	0.1052652422471777	1.6149082641895085	0.8670859266177114
TNFRSF1A	0.7978163679451973	0.10576024789502439	0.537327553047998	0.2847872055734314
TANK	0.7949046374097855	0.10800251791354817	0.3007384197195922	0.2146653887715962
LTBR	0.7927757766101269	0.10965087251875312	0.06356778809835859	-0.47089115503403833
S100B	0.7922771710902298	0.11003802433547288	-0.006358817727338639	-0.10618792733192142
SERPING1	0.7913065802375824	0.11079283635564884	0.6082549171692607	0.707075793610206
USP9Y	0.7881861983476841	0.11322999669349851	0.8711605065193663	-0.11914487859430892
CD79A	0.7872794399506925	0.11394120092815728	0.3511316960799576	0.13391222492061167
FOXJ1	0.7860586625187338	0.11490081236375914	0.6003097360119722	-0.007961606285897838
RUNX3	0.7837245840567546	0.11674226048531655	0.7638615047061311	0.24918526009945602
LAMP3	0.7818676224019497	0.11821354709594627	0.7794515367676672	0.7627515152689245
STAT2	0.7806296041592752	0.11919750078247592	0.9292421898330898	0.2941231509684014
LCP1	0.7785833055806719	0.12082919979308866	1.5274020382121096	2.037173920073615
IL18R1	0.7763030127260776	0.12265527423631507	1.4560890515828782	0.6722911255348257
C1S	0.7753442571016045	0.1234254906436299	0.9381909136178281	1.1594265489506295
CD38	0.7729650093310617	0.12534305734351428	0.37512264725208394	0.37803021408352067
LILRA1	0.7724510994378836	0.12575840111251854	1.174821417264911	1.3615167169764935
CARD11	0.7722198367167931	0.12594544193206525	-0.2932568719659846	-0.5702683042353553
CSF2RB	0.771660987410941	0.12639776998598293	1.7961087269957887	2.2489593964551373
CD99	0.7707654885574081	0.12712358497899298	0.29805163755611624	-0.5661816804029938
LILRB1	0.7692218305904726	0.12837764030366283	1.3007092497746933	0.8192169164746044
CXCL9	0.767863618589209	0.12948406198934787	0.658718124349717	0.18813086455840664
GZMK	0.7674291522285162	0.1298385802955546	0.49719940234668075	-0.3580851669025334
TLR1	0.766521614888652	0.1305800453442343	1.2565708989643032	1.1935540378367384
KLRK1	0.7649723593556774	0.13184868928701787	0.8154386117521574	-0.29110681976530517
A2M	0.7640516388804345	0.13260436337484635	0.24828869329105957	0.15151770046159144
EGR2	0.7632439837441932	0.13326829255411987	1.6239425922774604	1.350057222759463
CD14	0.7615223828729799	0.13468679811714712	1.600270741050822	1.7174773960671934
CD1D	0.7609789423789919	0.13513548539636683	0.571713532128159	-0.000992019816393208
CTLA4	0.7598469827096561	0.13607149408359823	0.574246517913846	0.428553834937628
TNFRSF17	0.7552744499037489	0.1398718260032279	0.6235601416368898	0.0805993251145634
TNFRSF12A	0.7533972830062943	0.1414408873041223	0.7598792317633662	0.24198918575576914
KLRG1	0.7491387581388903	0.14501945879990755	0.8139717899207003	0.23713182374466285
BID	0.748727135997475	0.14536674719593137	0.246440837728239	-0.3455157595929874
PRKCD	0.7452408961582802	0.14831785244896922	0.30936273005347326	0.0083154627351675
POU2F2	0.7447253917115126	0.1487556996441204	0.7273956117797068	0.6806038276415212
TNFSF15	0.7433266354777446	0.14994564322694032	0.7459502985549703	0.4326534847539296
ITGAX	0.7425007284931922	0.15064955563028673	1.744786558654465	1.9337409122753244
CMKLR1	0.7412343789653877	0.15173072175832755	0.7541931354203619	0.3423113541263076
CD276	0.7409953022000902	0.1519350906412128	0.6992542023169687	0.021429255700662876
ZAP70	0.7399491121958406	0.1528303442302572	0.08209909990848167	-0.5816065547053104
