gene	good_median	bad_median	good_mean	bad_mean	MW_P_1s	MW_P_2s	direction	BH_q_1s
PRG2	1.1265472513700407	-0.05776564011150709	1.1304672070608366	1.179798692737297	0.35	0.7	bad>good	0.8998459167950693
PSMB10	0.5926481872182722	-0.0676139401370549	0.31816193701781625	-0.45968036699492076	0.35	0.7	good>bad	0.8998459167950693
EBI3	0.8620543652873727	0.30238355481888896	0.36817800957146335	-0.1029259730114489	0.35	0.7	good>bad	0.8998459167950693
EGR2	2.0844429180736497	1.2751374723570432	1.9015202857377922	1.0541377512562706	0.35	0.7	good>bad	0.8998459167950693
ICOS	1.3321797195156297	-0.463979890740961	1.0208101027210923	0.30294925444484316	0.35	0.7	good>bad	0.8998459167950693
MAGEA1	1.0630720921878796	0.11613185937841669	0.9127717912927541	1.1007939726658402	0.35	0.7	bad>good	0.8998459167950693
MAGEA12	0.8351108237165589	-0.35567841623155133	0.6884286550506443	1.0334932535938164	0.35	0.7	bad>good	0.8998459167950693
LILRB2	2.236744648821817	1.0958324063413782	1.8404934941778588	0.9336671959672526	0.35	0.7	good>bad	0.8998459167950693
LRRN3	0.7684056702195251	-0.5498319834638616	1.2011008734675022	-0.004907345518319506	0.35	0.7	good>bad	0.8998459167950693
LTB	0.9272353376863602	0.46784722139726914	1.235581776343634	0.2680300688241412	0.35	0.7	good>bad	0.8998459167950693
REL	0.7535998740607242	-0.21498383530393206	0.6376673089094621	0.6903519735747569	0.35	0.7	bad>good	0.8998459167950693
CD276	0.79107638188053	-0.0906412058110932	1.0055980017640522	0.6981688713514952	0.35	0.7	good>bad	0.8998459167950693
CD3EAP	-0.1601558054522106	-1.4311027684174262	-0.39582428906169853	-0.026606951249091626	0.35	0.7	bad>good	0.8998459167950693
CD4	1.1054986025219933	0.14857994876050146	0.994508759378553	0.5345325002581088	0.35	0.7	good>bad	0.8998459167950693
CD44	1.3918532939167565	-0.19942075205395748	1.4366522493495992	0.4636722167441321	0.35	0.7	good>bad	0.8998459167950693
CD1E	1.3087743872613729	0.265063429023278	1.0635873893925891	1.084522489077646	0.35	0.7	bad>good	0.8998459167950693
CD24	-0.5615202894754399	-1.4885871537336652	-0.39518119866145834	-0.8980667269049327	0.35	0.7	good>bad	0.8998459167950693
CCL3	1.4145560724114137	0.24607377266496144	1.662085264319619	0.7955904845944922	0.35	0.7	good>bad	0.8998459167950693
CCL3L1	1.3047237140651349	0.4619905712551906	1.6469242548800247	0.8782470844531088	0.35	0.7	good>bad	0.8998459167950693
CCL8	1.9098678577367354	1.2758363122402612	1.5792563645287185	0.9957599146949505	0.35	0.7	good>bad	0.8998459167950693
CCR1	2.0667455333261406	1.1641537644398556	1.6843954252931972	1.1470135122665353	0.35	0.7	good>bad	0.8998459167950693
IL15RA	1.1599706671021974	-0.23833596195166729	0.9152999984712809	0.601995653579889	0.35	0.7	good>bad	0.8998459167950693
MBL2	1.1170286798827178	0.976390035304619	1.4040454230446267	1.2751920627338789	0.35	0.7	good>bad	0.8998459167950693
MME	1.5880349606704922	-0.7291514411545945	1.1842356078733958	-0.14028675117838216	0.35	0.7	good>bad	0.8998459167950693
CYLD	1.852576105391698	1.4571899158701835	1.5762646746751907	1.0787836022051478	0.35	0.7	good>bad	0.8998459167950693
MAP3K7	-0.5946843926670313	-0.6233347297659813	-0.5254387817146171	-0.7369760478202769	0.35	0.7	good>bad	0.8998459167950693
MASP1	1.432073655187555	0.4642166214201392	1.4024978113236113	0.520554261901152	0.35	0.7	good>bad	0.8998459167950693
CXCL3	0.5543340499286181	-0.576780276562457	0.38829248013477297	0.4280892519452248	0.35	0.7	bad>good	0.8998459167950693
CXCL5	1.2179749263354498	-0.5873586858562849	0.869589873191452	0.2979604184103864	0.35	0.7	good>bad	0.8998459167950693
CXCL6	1.4481539405435355	0.18706831389017753	1.1294447301253159	0.5861930767551929	0.35	0.7	good>bad	0.8998459167950693
