baseline	delta	n_paired	spearman_r	spearman_p	pearson_r	pearson_p	partial_r_resp_adj	partial_p_resp_adj	partial_q_BH
NLRC5_HLA_IFNG	neo_binders_delta	10	0.188	0.6032	0.04	0.9131	0.241	0.5021	0.9519
MSI_pct	TRB_shannon_delta	11	0.298	0.3732	0.293	0.3813	0.226	0.5034	0.9519
CD8_proliferation	TRB_shannon_delta	12	0.315	0.3191	0.484	0.1104	0.212	0.5081	0.955
G2-M Checkpoint	IGH_n_delta	12	0.308	0.3306	0.354	0.2589	0.204	0.5247	0.9702
E2F Targets	IGH_n_delta	12	0.308	0.3306	0.35	0.2646	0.204	0.5247	0.9702
Hypoxia_Buffa	neo_sites_delta	10	-0.224	0.5334	-0.235	0.5132	-0.228	0.5255	0.9702
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	neo_sites_delta	10	-0.394	0.26	-0.304	0.3924	-0.225	0.5326	0.9775
Stemness_mRNAsi_proxy	MHC_II_delta	12	0.014	0.9656	-0.011	0.9722	-0.197	0.539	0.9834
DNA Repair R-HSA-73894	neo_binders_delta	10	-0.321	0.3655	-0.215	0.5505	-0.216	0.5486	0.9839
Bcell_infiltration	Treg_delta	12	-0.028	0.9312	0.198	0.5372	0.189	0.5562	0.9839
EMT_Mak	TLS_Cabrita_delta	12	0.105	0.7456	0.129	0.6898	0.188	0.558	0.9839
NLRC5_HLA_IFNG	TLS_Cabrita_delta	12	-0.119	0.7129	0.045	0.8885	-0.188	0.5582	0.9839
Hypoxia_Buffa	TLS_Cabrita_delta	12	0.182	0.5717	0.368	0.2399	0.187	0.5598	0.9839
CD8_cytotoxic	neo_binders_delta	10	0.212	0.5563	0.173	0.6322	0.21	0.5602	0.9839
TGF-beta Signaling	MHC_II_delta	12	-0.287	0.3663	-0.468	0.1249	-0.186	0.5635	0.9839
TGF-beta Signaling	Bcell_infiltration_delta	12	-0.168	0.6021	-0.259	0.417	-0.185	0.5645	0.9839
Stemness_mRNAsi_proxy	SBS5_delta	13	-0.039	0.9006	0.136	0.6573	0.174	0.5696	0.9841
CIN	Treg_delta	12	-0.035	0.9141	-0.102	0.7514	-0.182	0.5709	0.9841
Stemness_mRNAsi_proxy	TLS_Cabrita_delta	12	-0.098	0.7621	-0.235	0.4621	-0.181	0.5741	0.9842
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	IGH_n_delta	12	0.315	0.3191	0.304	0.3374	0.177	0.5826	0.9933
Antigen_presentation	CD8_exhaustion_delta	12	-0.07	0.829	0.029	0.9286	-0.175	0.5861	0.9938
CD8_proliferation	TLS_Cabrita_delta	12	0.245	0.4433	0.286	0.3682	0.169	0.5989	0.9945
DNA Double-Strand Break Repair R-HSA-5693532	CD8_cytotoxic_delta	12	-0.07	0.829	-0.091	0.779	-0.168	0.6007	0.9945
Antigen_presentation	TLS_Cabrita_delta	12	-0.126	0.6967	0.166	0.6051	-0.168	0.6028	0.9945
Stemness_mRNAsi_proxy	IGH_n_delta	12	0.259	0.4168	0.193	0.5478	0.166	0.6054	0.9945
CD8_cytotoxic	SBS5_delta	13	-0.151	0.6217	-0.053	0.8632	-0.153	0.6172	0.9945
frac_del	TRB_shannon_delta	12	0.063	0.8459	-0.028	0.9317	0.158	0.6233	0.9945
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	Treg_delta	12	0.189	0.5567	0.044	0.8917	-0.158	0.6238	0.9945
NLRC5_HLA_IFNG	Bcell_infiltration_delta	12	-0.161	0.6175	-0.057	0.8592	-0.154	0.6329	0.9945
EMT_Mak	missense_delta	11	0.169	0.6203	0.209	0.5376	0.161	0.6357	0.9945
DNA Repair R-HSA-73894	TLS_Cabrita_delta	12	0.252	0.4299	0.341	0.2784	0.15	0.6412	0.9945
CD8_proliferation	MHC_II_delta	12	0.112	0.7292	0.043	0.8956	-0.149	0.6444	0.9945
CD8_cytotoxic	CD8_exhaustion_delta	12	-0.126	0.6967	-0.149	0.6434	-0.149	0.645	0.9945
CIN	neo_binders_delta	11	0.182	0.5926	0.25	0.4578	0.156	0.6466	0.9945
Hypoxia	SBS5_delta	13	0.366	0.2189	0.399	0.1767	0.137	0.6561	0.9945
Myc Targets V2	TRB_shannon_delta	12	0.28	0.3786	0.502	0.0965	0.141	0.6611	0.9945
Myc Targets V2	SBS5_delta	13	-0.382	0.1972	-0.413	0.1613	-0.133	0.6654	0.9945
Bcell_infiltration	TRB_shannon_delta	12	0.042	0.897	0.14	0.6642	0.135	0.6751	0.9945
frac_amp	missense_delta	12	0.145	0.6541	0.234	0.4632	0.133	0.6806	0.9945
MSI_pct	TLS_Cabrita_delta	11	-0.075	0.8276	-0.065	0.8493	-0.139	0.6846	0.9945
Bcell_infiltration	CD8_exhaustion_delta	12	-0.021	0.9484	0.149	0.6432	0.13	0.6862	0.9945
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	CD8_exhaustion_delta	12	0.133	0.6806	-0.029	0.929	-0.128	0.6911	0.9945
MHC_II	SBS5_delta	13	0.209	0.493	0.203	0.5061	0.119	0.6982	0.9945
CIN	CD8_exhaustion_delta	12	-0.028	0.9312	-0.141	0.6619	-0.125	0.6984	0.9945
MSI_pct	neo_binders_delta	11	-0.256	0.447	0.102	0.7648	-0.131	0.7003	0.9945
NLRC5_HLA_IFNG	CD8_exhaustion_delta	12	0.028	0.9312	0.04	0.9028	-0.122	0.7059	0.9945
Bcell_infiltration	missense_delta	11	-0.032	0.9258	-0.127	0.7105	-0.128	0.7069	0.9945
Stemness_mRNAsi_proxy	CD8_exhaustion_delta	12	0.056	0.8629	-0.064	0.8445	-0.121	0.7086	0.9945
Hypoxia_Buffa	neo_binders_delta	10	-0.139	0.7009	-0.128	0.7241	-0.135	0.7099	0.9945
NLRC5_HLA_IFNG	IGH_n_delta	12	-0.014	0.9656	0.068	0.8332	-0.12	0.7108	0.9945
Antigen_presentation	Treg_delta	12	0.014	0.9656	0.12	0.711	-0.115	0.7217	0.9945
CIN	IGH_n_delta	12	-0.049	0.8799	-0.162	0.6142	-0.115	0.7221	0.9945
DNA Double-Strand Break Repair R-HSA-5693532	MHC_II_delta	12	0.294	0.3541	0.214	0.5046	-0.11	0.7331	0.9945
MSI_pct	IGH_n_delta	11	0.224	0.5086	0.251	0.4569	0.115	0.7364	0.9945
E2F Targets	Treg_delta	12	0.154	0.6331	0.072	0.8243	-0.108	0.7394	0.9945
G2-M Checkpoint	Treg_delta	12	0.154	0.6331	0.111	0.7316	-0.108	0.7394	0.9945
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	missense_delta	11	-0.196	0.5637	-0.266	0.4289	-0.113	0.7417	0.9945
TGF-beta Signaling	CD8_cytotoxic_delta	12	-0.126	0.6967	0.131	0.6853	-0.106	0.7426	0.9945
Epithelial Mesenchymal Transition	missense_delta	11	0.109	0.749	0.183	0.5893	0.111	0.7452	0.9945
frac_del	Bcell_infiltration_delta	12	0.112	0.7292	0.105	0.7442	0.103	0.7491	0.9945
E2F Targets	TLS_Cabrita_delta	12	0.175	0.5868	0.312	0.3237	0.102	0.7522	0.9945
G2-M Checkpoint	TLS_Cabrita_delta	12	0.175	0.5868	0.331	0.2927	0.102	0.7522	0.9945
E2F Targets	CD8_cytotoxic_delta	12	0.126	0.6967	-0.076	0.8138	0.1	0.7583	0.9945
G2-M Checkpoint	CD8_cytotoxic_delta	12	0.126	0.6967	-0.042	0.8977	0.1	0.7583	0.9945
DNA Repair R-HSA-73894	TRB_shannon_delta	12	0.259	0.4168	0.39	0.21	0.099	0.7586	0.9945
MHC_II	CD8_exhaustion_delta	12	-0.133	0.6806	-0.282	0.3745	-0.097	0.7649	0.9945
HDR Thru Homologous Recombination (HRR) R-HSA-5685942	CD8_cytotoxic_delta	12	0.126	0.6967	-0.059	0.8557	0.094	0.7723	0.9945
MSI_pct	MHC_II_delta	11	0.149	0.6618	0.02	0.9534	-0.097	0.7774	0.9945
TMB_nonsyn_per_Mb	neo_sites_delta	11	-0.136	0.6893	-0.037	0.9138	0.094	0.7829	0.9945
Myc Targets V2	missense_delta	11	-0.187	0.5824	-0.235	0.4876	-0.094	0.7842	0.9945
NLRC5_HLA_IFNG	missense_delta	11	0.032	0.9258	-0.083	0.8093	0.087	0.7993	0.9945
DNA Repair R-HSA-73894	missense_delta	11	-0.187	0.5824	-0.217	0.5214	-0.087	0.7997	0.9945
MHC_II	neo_binders_delta	10	0.127	0.7261	0.078	0.8296	0.089	0.8072	0.9945
CD8_proliferation	CD8_exhaustion_delta	12	0.266	0.4038	0.062	0.8483	0.078	0.8107	0.9945
frac_amp	IGH_n_delta	12	-0.079	0.8071	-0.043	0.8946	0.076	0.814	0.9945
EMT_Mak	neo_binders_delta	10	0.139	0.7009	0.071	0.8465	0.085	0.8153	0.9945
MSI_pct	neo_sites_delta	11	-0.27	0.4226	0.054	0.8748	-0.079	0.8173	0.9945
DNA Double-Strand Break Repair R-HSA-5693532	CD8_exhaustion_delta	12	0.287	0.3663	0.113	0.7266	-0.071	0.8272	0.9945
